bid_price,ask_price,price,spread,24h_volume,timestamp,currency,exchange
34299.9,34300.0,34299.95,0.0999999999985448,1554.5583332,1627214883.2697108,BTC-USD,Kraken
34299.9,34300.0,34299.95,0.0999999999985448,1554.28809842,1627214954.7510548,BTC-USD,Kraken
34270.7,34270.8,34270.75,0.1000000000058207,1554.43554698,1627214971.8398056,BTC-USD,Kraken
34270.8,34270.9,34270.850000000006,0.0999999999985448,1554.43554698,1627214988.8644192,BTC-USD,Kraken
34270.8,34270.9,34270.850000000006,0.0999999999985448,1555.60387673,1627215005.8810592,BTC-USD,Kraken
34294.2,34298.8,34296.5,4.600000000005821,1556.51911495,1627215023.7662044,BTC-USD,Kraken
34299.6,34299.7,34299.649999999994,0.0999999999985448,1556.62117931,1627215040.8313525,BTC-USD,Kraken
34299.8,34299.9,34299.850000000006,0.0999999999985448,1556.62704227,1627215057.91802,BTC-USD,Kraken
34299.8,34299.9,34299.850000000006,0.0999999999985448,1555.77457705,1627215075.668303,BTC-USD,Kraken
34299.8,34299.9,34299.850000000006,0.0999999999985448,1556.58387339,1627215093.4837313,BTC-USD,Kraken
34310.9,34311.0,34310.95,0.0999999999985448,1556.75677974,1627215110.4889536,BTC-USD,Kraken
34310.9,34311.0,34310.95,0.0999999999985448,1556.74446084,1627215127.457024,BTC-USD,Kraken
34310.9,34311.0,34310.95,0.0999999999985448,1556.76695655,1627215144.5501678,BTC-USD,Kraken
34288.52,34288.53,34288.524999999994,0.0100000000020372,11852.733452960498,1627214883.226534,BTC-USD,Huobi
34277.99,34278.0,34277.994999999995,0.0100000000020372,11850.505923291012,1627214954.6881764,BTC-USD,Huobi
34257.98,34257.99,34257.985,0.0099999999947613,11854.679020783611,1627214971.7706506,BTC-USD,Huobi
34263.54,34263.55,34263.545,0.0100000000020372,11857.565747005425,1627214988.8110428,BTC-USD,Huobi
34269.96,34269.97,34269.965,0.0100000000020372,11848.238835945032,1627215005.843436,BTC-USD,Huobi
34282.22,34282.23,34282.225000000006,0.0100000000020372,11849.196253945032,1627215023.691217,BTC-USD,Huobi
34287.64,34287.65,34287.645000000004,0.0100000000020372,11850.364293945033,1627215040.7924275,BTC-USD,Huobi
34289.22,34289.23,34289.225000000006,0.0100000000020372,11851.538681945032,1627215057.8574083,BTC-USD,Huobi
34299.99,34300.0,34299.994999999995,0.0100000000020372,11848.276502500838,1627215075.6144714,BTC-USD,Huobi
34305.11,34305.12,34305.115000000005,0.0100000000020372,11850.69059368722,1627215093.4384596,BTC-USD,Huobi
34304.98,34304.99,34304.985,0.0099999999947613,11853.064622928034,1627215110.4306393,BTC-USD,Huobi
34311.49,34311.5,34311.494999999995,0.0100000000020372,11848.323502578482,1627215127.4134524,BTC-USD,Huobi
34296.49,34296.5,34296.494999999995,0.0100000000020372,11851.231033995917,1627215144.500289,BTC-USD,Huobi
34296.0,34297.0,34296.5,1.0,,1627214883.205653,BTC-USD,FTX
34291.0,34292.0,34291.5,1.0,,1627214954.6722732,BTC-USD,FTX
34276.0,34277.0,34276.5,1.0,,1627214971.760575,BTC-USD,FTX
34274.0,34276.0,34275.0,2.0,,1627214988.8053756,BTC-USD,FTX
34283.0,34284.0,34283.5,1.0,,1627215005.8188338,BTC-USD,FTX
34297.0,34298.0,34297.5,1.0,,1627215023.6859543,BTC-USD,FTX
34297.0,34298.0,34297.5,1.0,,1627215040.7707193,BTC-USD,FTX
34298.0,34299.0,34298.5,1.0,,1627215057.8464391,BTC-USD,FTX
34307.0,34308.0,34307.5,1.0,,1627215075.6050632,BTC-USD,FTX
34313.0,34314.0,34313.5,1.0,,1627215093.4104764,BTC-USD,FTX
34318.0,34319.0,34318.5,1.0,,1627215110.4226248,BTC-USD,FTX
34324.0,34325.0,34324.5,1.0,,1627215127.4000216,BTC-USD,FTX
34311.0,34312.0,34311.5,1.0,,1627215144.4908547,BTC-USD,FTX
34307.83,34307.85,34307.84,0.0199999999967985,10292.32676078,1627214883.2023757,BTC-USD,Coinbase Pro
34303.27,34303.28,34303.274999999994,0.0100000000020372,10294.6770392,1627214954.662562,BTC-USD,Coinbase Pro
34289.14,34289.15,34289.145000000004,0.0100000000020372,10294.6770392,1627214971.7371278,BTC-USD,Coinbase Pro
34293.44,34293.45,34293.445,0.0099999999947613,10296.17239029,1627214988.7846467,BTC-USD,Coinbase Pro
34285.69,34287.27,34286.48,1.5799999999944705,10296.17239029,1627215005.801201,BTC-USD,Coinbase Pro
34308.82,34310.21,34309.515,1.389999999999418,10296.17239029,1627215023.6785624,BTC-USD,Coinbase Pro
34309.32,34309.36,34309.34,0.0400000000008731,10297.21110695,1627215040.7544725,BTC-USD,Coinbase Pro
34313.14,34313.15,34313.145000000004,0.0100000000020372,10297.21110695,1627215057.8284428,BTC-USD,Coinbase Pro
34325.28,34327.1,34326.19,1.819999999999709,10297.21110695,1627215075.5921648,BTC-USD,Coinbase Pro
34330.25,34331.86,34331.055,1.610000000000582,10298.05063462,1627215093.3999605,BTC-USD,Coinbase Pro
34329.0,34329.01,34329.005000000005,0.0100000000020372,10298.05063462,1627215110.406555,BTC-USD,Coinbase Pro
34335.31,34336.57,34335.94,1.2600000000020373,10298.05063462,1627215127.3823683,BTC-USD,Coinbase Pro
34319.81,34321.58,34320.695,1.7700000000040743,10300.71053426,1627215144.477908,BTC-USD,Coinbase Pro
34310.0,34317.0,34313.5,7.0,2153.77521551,1627214883.2004144,BTC-USD,Bitfinex
34314.0,34316.0,34315.0,2.0,2153.86138515,1627214954.6580043,BTC-USD,Bitfinex
34309.0,34310.0,34309.5,1.0,2153.87138515,1627214971.733607,BTC-USD,Bitfinex
34289.0,34290.0,34289.5,1.0,2154.04966095,1627214988.7814286,BTC-USD,Bitfinex
34281.0,34284.0,34282.5,3.0,2157.19688747,1627215005.795298,BTC-USD,Bitfinex
34281.0,34284.0,34282.5,3.0,2157.19688747,1627215023.6740787,BTC-USD,Bitfinex
34298.0,34299.0,34298.5,1.0,2157.9353521,1627215040.7416835,BTC-USD,Bitfinex
34298.0,34306.0,34302.0,8.0,2158.02010548,1627215057.825233,BTC-USD,Bitfinex
34298.0,34306.0,34302.0,8.0,2158.02010548,1627215075.58659,BTC-USD,Bitfinex
34318.0,34319.0,34318.5,1.0,2158.10587238,1627215093.395276,BTC-USD,Bitfinex
34326.0,34335.0,34330.5,9.0,2158.23587238,1627215110.397918,BTC-USD,Bitfinex
34329.0,34332.0,34330.5,3.0,2158.23587238,1627215127.3793511,BTC-USD,Bitfinex
34326.0,34332.0,34329.0,6.0,2158.32161528,1627215144.4716938,BTC-USD,Bitfinex
34290.44,34290.45,34290.445,0.0099999999947613,46703.011667,1627214883.196558,BTC-USD,Binance
34283.24,34283.25,34283.244999999995,0.0100000000020372,46709.472674,1627214954.653396,BTC-USD,Binance
34270.43,34270.44,34270.435,0.0100000000020372,46715.463638,1627214971.7298377,BTC-USD,Binance
34265.78,34265.79,34265.785,0.0100000000020372,46713.723028,1627214988.777878,BTC-USD,Binance
34278.43,34278.44,34278.435,0.0100000000020372,46712.920432,1627215005.7913876,BTC-USD,Binance
34288.26,34288.27,34288.265,0.0099999999947613,46712.055431,1627215023.6707692,BTC-USD,Binance
34291.75,34291.76,34291.755000000005,0.0100000000020372,46695.012116,1627215040.738269,BTC-USD,Binance
34295.31,34295.32,34295.315,0.0100000000020372,46694.463592,1627215057.8217652,BTC-USD,Binance
34300.43,34300.44,34300.435,0.0100000000020372,46684.101457,1627215075.582683,BTC-USD,Binance
34310.76,34310.77,34310.765,0.0099999999947613,46684.381424,1627215093.3920977,BTC-USD,Binance
34313.18,34318.73,34315.955,5.55000000000291,46695.005012,1627215110.394464,BTC-USD,Binance
34318.65,34318.66,34318.655,0.0100000000020372,46697.092757,1627215127.3758943,BTC-USD,Binance
34304.82,34304.83,34304.825,0.0100000000020372,46701.435926,1627215144.4678614,BTC-USD,Binance
